Data,Dia,Fundo inicial,Vendas dinheiro,Sangrias,Diferença,
22/01/2025, qua.,"R$ 408,30","R$ 759,68","R$ 1.113,95","R$ 54,03",
23/01/2025, qui.,"R$ 349,95","R$ 0,00","R$ 349,95","R$ 0,00",
24/01/2025, sex.,"R$ 350,00","R$ 437,30","R$ 797,35","-R$ 10,05",
25/01/2025, sáb.,"R$ 347,75","R$ 710,80","R$ 1.062,10","-R$ 3,55",
27/01/2025, seg.,"R$ 350,00","R$ 83,60","R$ 433,00","R$ 0,60",
28/01/2025, ter.,"R$ 350,00","R$ 227,70","R$ 577,55","R$ 0,15",
29/01/2025, qua.,"R$ 349,75","R$ 350,50","R$ 700,25","R$ 0,00",
30/01/2025, qui.,"R$ 350,25","R$ 576,09","R$ 926,35","-R$ 0,01",
31/01/2025, sex.,"R$ 350,30","R$ 443,80","R$ 794,25","-R$ 0,15",
03/02/2025, seg.,"R$ 350,00","R$ 637,40","R$ 994,40","-R$ 7,00",
04/02/2025, ter.,"R$ 350,00","R$ 268,50","R$ 618,90","-R$ 0,40",
05/02/2025, qua.,"R$ 351,00","R$ 419,80","R$ 770,80","R$ 0,00",
06/02/2025, qui.,"R$ 351,00","R$ 132,19","R$ 483,00","R$ 0,19",
07/02/2025, sex.,"R$ 351,00","R$ 117,40","R$ 468,40","R$ 0,00",
08/02/2025, sáb.,"R$ 350,00","R$ 713,60","R$ 1.063,60","R$ 0,00",
10/02/2025, seg.,"R$ 363,55","R$ 838,45","R$ 1.202,00","R$ 0,00",
11/02/2025, ter.,"R$ 350,00","R$ 10,00","R$ 360,00","R$ 0,00",
12/02/2025, qua.,"R$ 350,00","R$ 472,20","R$ 823,00","-R$ 0,80",
13/02/2025, qui.,"R$ 350,00","R$ 155,65","R$ 505,65","R$ 0,00",
14/02/2025, sex.,"R$ 350,00","R$ 530,40","R$ 880,40","R$ 0,00",
15/02/2025, sáb.,"R$ 350,00","R$ 315,80","R$ 665,50","R$ 0,30",
17/02/2025, seg.,"R$ 350,75","R$ 633,00","R$ 982,85","R$ 0,90",
17/02/2025, seg.,"R$ 350,00","R$ 56,08","R$ 406,25","-R$ 0,17",
18/02/2025, ter.,"R$ 350,00","R$ 265,80","R$ 615,75","R$ 0,05",
19/02/2025, qua.,"R$ 350,00","R$ 215,20","R$ 565,25","-R$ 0,05",
20/02/2025, qui.,"R$ 350,00","R$ 268,87","R$ 619,00","-R$ 0,13",
21/02/2025, sex.,"R$ 350,00","R$ 962,00","R$ 1.312,50","-R$ 0,50",
22/02/2025, sáb.,"R$ 350,00","R$ 705,20","R$ 1.055,50","-R$ 0,30",
24/02/2025, seg.,"R$ 350,00","R$ 40,00","R$ 390,00","R$ 0,00",
25/02/2025, ter.,"R$ 350,00","R$ 158,60","R$ 508,50","R$ 0,10",
26/07/2025, sáb.,"R$ 350,00","R$ 493,90","R$ 843,75","R$ 0,15",
27/02/2025, qui.,"R$ 350,00","R$ 339,98","R$ 689,75","R$ 0,23",
28/02/2025, sex.,"R$ 350,00","R$ 675,10","R$ 1.026,00","-R$ 0,90",
01/03/2025, sáb.,"R$ 350,00","R$ 45,00","R$ 395,00","R$ 0,00",
03/03/2025, seg.,"R$ 350,00","R$ 203,60","R$ 553,40","R$ 0,20",
04/03/2025, ter.,"R$ 350,00","R$ 404,00","R$ 754,05","-R$ 0,05",
05/03/2025, qua.,"R$ 350,00","R$ 11,50","R$ 361,50","R$ 0,00",
06/03/2025, qui.,"R$ 350,00","R$ 189,40","R$ 539,50","-R$ 0,10",
07/03/2025, sex.,"R$ 350,00","R$ 937,37","R$ 1.287,35","R$ 0,02",
08/03/2025, sáb.,"R$ 350,00","R$ 1.110,70","R$ 1.456,70","R$ 4,00",
10/03/2025, seg.,"R$ 350,00","R$ 0,00","R$ 350,00","R$ 0,00",
11/03/2025, ter.,"R$ 350,00","R$ 70,40","R$ 420,40","R$ 0,00",
12/03/2025, qua.,"R$ 350,00","R$ 156,20","R$ 506,20","R$ 0,00",
13/03/2025, qui.,"R$ 350,00","R$ 117,00","R$ 467,00","R$ 0,00",
14/03/2025, sex.,"R$ 350,00","R$ 757,50","R$ 1.107,30","R$ 0,20",
15/03/2025, sáb.,"R$ 350,00","R$ 992,30","R$ 1.283,65","R$ 58,65",
17/03/2025, seg.,"R$ 350,00","R$ 168,30","R$ 517,30","R$ 1,00",
